"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hp_mmu-mir-148b_st",0.0922941176470589,0.971111111111111,0.862721632261333,0.395518418253299,0.87345035490792,-5.55175735005027
"crm-miR-60-star_st",-0.0819411764705884,0.777407407407407,-0.862686276820497,0.395537535426443,0.87345035490792,-5.55178581928508
"bmo-miR-3414_st",-0.100411764705882,0.737777777777778,-0.862406948458981,0.395688592794529,0.87345035490792,-5.55201070387903
"dwi-miR-184-star_st",-0.0829411764705876,1.07777777777778,-0.86239971802022,0.395692503415022,0.87345035490792,-5.55201652412226
"spu-miR-2009_st",-0.0706470588235293,0.918518518518519,-0.862365473203005,0.395711025237069,0.87345035490792,-5.55204408934233
"gga-miR-3529_st",-0.0863529411764707,0.80962962962963,-0.862318074911142,0.395736662223211,0.87345035490792,-5.55208224068897
"ath-miR408_st",0.100941176470588,1.00555555555556,0.862283240983664,0.395755504017356,0.87345035490792,-5.55211027759285
"ppy-miR-298_st",0.50029411764706,4.57,0.86220214187088,0.395799373025236,0.87345035490792,-5.55217554796941
"mmu-miR-29c-star_st",0.238294117647059,1.86703703703704,0.862187601870373,0.395807238486478,0.87345035490792,-5.55218724947302
"lja-miR167_st",-0.0634117647058822,0.594074074074074,-0.862002345862594,0.39590746204259,0.873578421680933,-5.55233632350125
"mmu-miR-18a_st",0.13229411764706,7.6362962962963,0.861864746012525,0.395981914053858,0.873649403288168,-5.55244702940334
"gga-miR-1768_st",0.105941176470588,0.843703703703704,0.861786939676029,0.396024017157478,0.873649403288168,-5.55250962106549
"hp_hsa-mir-4300_st",0.101529411764706,1.03592592592593,0.861589086335422,0.396131093756945,0.873680809383401,-5.55266876102697
"ppy-miR-551a_st",0.105470588235294,0.937407407407407,0.86155111284053,0.396151646806331,0.873680809383401,-5.55269930040954
"hp_hsa-mir-1302-7_x_st",-0.0872352941176472,0.914074074074074,-0.861526743113089,0.396164837211472,0.873680809383401,-5.55271889857872
"ppy-miR-626_st",-0.0783529411764706,0.736666666666667,-0.861378129093161,0.396245282366218,0.87374664537503,-5.55283840284157
"pta-miR1311_st",-0.112588235294117,2.54111111111111,-0.86130816863617,0.396283155739978,0.87374664537503,-5.55289465305432
"1415746_st",0.103176470588235,1.09296296296296,0.861222789614763,0.396329379134884,0.87374664537503,-5.55296329438344
"rno-miR-292-3p_st",0.0914705882352942,1.00259259259259,0.861146633161486,0.396370612412083,0.87374664537503,-5.55302451570791
"ptc-miR396g_st",0.0696470588235294,0.591851851851852,0.861081870579711,0.39640567886859,0.87374664537503,-5.55307657359945
"hp_hsa-mir-422a_st",0.0625882352941176,0.757407407407407,0.860957997478798,0.396472756902042,0.873801479980168,-5.55317613579405
"hsa-let-7d_st",-0.0481176470588238,10.8937037037037,-0.860799607113667,0.396558536757651,0.873832330625403,-5.55330342128801
"mtr-miR2655d_st",-0.0958823529411765,0.67962962962963,-0.860740952223,0.396590305623628,0.873832330625403,-5.55335055185062
"bta-miR-376b_st",-0.0835882352941175,1.02037037037037,-0.860698387788408,0.396613360534026,0.873832330625403,-5.55338475145826
"ptc-miR172a_st",0.0950000000000002,0.934814814814815,0.860526816640265,0.396706300220589,0.873833856150052,-5.55352258897418
