"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hp_mmu-let-7b_st",-0.184176470588235,1.09703703703704,-2.24980361393046,0.0323910730485838,0.401823031401094,-3.68297555830968
"rno-let-7b-star_st",0.401823529411765,1.74,1.75270104814759,0.0904454930779085,0.590303124650562,-4.50973113973379
"cin-let-7b_st",-0.284705882352942,5.34074074074074,-1.54157056768509,0.134249285819138,0.677291845495371,-4.81215045929579
"odi-let-7b_st",0.124588235294118,0.884444444444444,1.53311096865466,0.136315335064196,0.679181808379463,-4.8236027784422
"hsa-let-7b_st",0.11964705882353,13.0033333333333,1.5060182766786,0.143106516676324,0.687585061684756,-4.85992486211286
"mmu-let-7b_st",0.101235294117652,12.9607407407407,1.32085842917583,0.197094718530245,0.745607741230597,-5.09331135748784
"mml-let-7b_st",0.0987647058823526,13.0151851851852,1.30347710627856,0.202881507420721,0.749900097894782,-5.11385663810768
"fru-let-7b_st",0.0882352941176485,12.9955555555556,1.2798027599674,0.210971990903536,0.756344065939166,-5.14145537583403
"oan-let-7b_st",0.0891176470588242,12.9711111111111,1.25020671524551,0.221429011975996,0.765044071746199,-5.17532847227604
"rno-let-7b_st",0.0954117647058883,12.9840740740741,1.24983847993109,0.221561541547111,0.765057296015361,-5.17574549843933
"cin-let-7b-star_st",0.149058823529412,1.13185185185185,1.19356540010489,0.242524498971615,0.784418589905403,-5.23818625351326
"tgu-let-7b_st",0.0844117647058802,12.9081481481481,1.06854560413617,0.294274263510182,0.817616905064904,-5.36759558229839
"mmu-let-7b-star_st",0.177588235294118,1.37481481481481,1.06003439199353,0.298062429772112,0.819703811443081,-5.37593096225586
"sme-let-7b-star_st",0.109470588235294,0.775925925925926,1.05942151962089,0.298336525589897,0.819863254056955,-5.37652881197281
"ptr-let-7b_st",0.0827058823529416,12.9040740740741,1.05452072352556,0.300534694498054,0.820744705197476,-5.38129805673204
"gga-let-7b_st",0.0747058823529425,12.957037037037,1.03882851070583,0.30764954485408,0.822966205095752,-5.39643220035818
"tni-let-7b_st",0.0708235294117632,12.9325925925926,1.00919519231269,0.32140352073655,0.832769015735772,-5.42444062422206
"bta-let-7b_st",0.0764117647058828,12.9011111111111,0.963843800005993,0.34326102759839,0.847652999223729,-5.46584939332703
"mdo-let-7b_st",0.0726470588235291,12.9407407407407,0.962209681134692,0.344066877894277,0.847652999223729,-5.46730839095704
"dre-let-7b_st",0.0711764705882327,12.8848148148148,0.940510124970161,0.354888319550954,0.852868795801073,-5.48646339627058
"ppy-let-7b_st",0.0674705882352935,12.8814814814815,0.905851870612296,0.372636635649749,0.861263465382517,-5.51620879165788
"xtr-let-7b_st",-0.166764705882353,5.69,-0.904206259237028,0.373493528000439,0.862150024583564,-5.5175950704837
"cfa-let-7b_st",0.0612941176470603,12.9325925925926,0.820209120994338,0.418928866703122,0.881929126772442,-5.58519100176085
"hp_mmu-let-7b_x_st",0.0689411764705881,1.09740740740741,0.811126904062757,0.424039505661901,0.883294425050493,-5.59212571949274
"csa-let-7b_st",-0.134470588235294,5.35333333333333,-0.666479464907967,0.510483760322932,0.914633051225892,-5.69258810630551
"oan-let-7b-star_st",0.0508823529411764,1.18703703703704,0.469556138409632,0.642257881519152,0.952868952074938,-5.7986015720978
"hp_rno-let-7b_st",0.0274117647058824,0.989259259259259,0.328142675864099,0.745211167718721,0.973830384271621,-5.85239615697291
"hp_rno-let-7b_x_st",0.0237058823529415,2.27592592592593,0.307482355270124,0.760720116574535,0.974795181516266,-5.85867348920139
"hp_hsa-let-7b_st",-0.0155294117647057,0.972222222222222,-0.21304762615627,0.832811938740093,0.98271874831977,-5.88219820013866
"sme-let-7b_st",-0.0152352941176469,0.677407407407407,-0.186913808817681,0.85305724369709,0.984848494206184,-5.88720610262323
"hsa-let-7b-star_st",-0.0302941176470586,1.52592592592593,-0.154250619411748,0.878503206066832,0.989514567580479,-5.89254724577782
"hp_hsa-let-7b_x_st",0.00782352941176456,1.25592592592593,0.113688781330247,0.910284496353549,0.992734514142438,-5.89775855155452
